Id,Prediction
0,2390534.0
1,2344689.0
2,5435276.0
3,4066618.0
4,7495092.0
5,2544857.0
6,1734634.0
7,4052733.0
8,3727364.0
9,2058644.0
10,4350573.0
11,4067566.0
12,3347767.0
13,4052733.0
14,3778621.0
15,2267425.0
16,3745135.0
17,5595267.0
18,3745135.0
19,2267425.0
20,3261924.0
21,3410878.0
22,4952497.0
23,9262754.0
24,5017319.0
25,2344689.0
26,1763231.0
27,3780019.0
28,3778621.0
29,2097022.0
30,2738052.0
31,3807496.0
32,1734634.0
33,2058644.0
34,3376145.0
35,3745135.0
36,2390534.0
37,4888774.0
38,1763231.0
39,5017319.0
40,5166635.0
41,5653753.0
42,2954086.0
43,2021934.0
44,5444227.0
45,2383840.0
46,4067566.0
47,6941173.0
48,3410878.0
49,5337526.0
50,6836483.0
51,6694797.0
52,6941173.0
53,3258837.0
54,2371202.0
55,4250553.0
56,3956086.0
57,5444227.0
58,3752885.0
59,5337526.0
60,1763231.0
61,1999097.0
62,4882985.0
63,3810007.0
64,3818055.0
65,1149870.0
66,2390534.0
67,4491607.0
68,4350573.0
69,3351383.0
70,6412623.0
71,2083447.0
72,7201784.0
73,8213524.0
74,4052733.0
75,2267425.0
76,3004429.0
77,9262754.0
78,7201784.0
79,6694797.0
80,3956086.0
81,3351383.0
82,4882985.0
83,5525735.0
84,4052733.0
85,1270499.0
86,4758476.0
87,3376145.0
88,3570392.0
89,3745135.0
90,2021934.0
91,5166635.0
92,1270499.0
93,5966193.0
94,1756069.0
95,3956086.0
96,5595267.0
97,6412623.0
98,5286212.0
99,3982767.0
100,1999097.0
101,1756069.0
102,6941173.0
103,3351383.0
104,1270499.0
105,3452382.0
106,3939804.0
107,7217634.0
108,1999097.0
109,4100886.0
110,6782425.0
111,3745135.0
112,4554237.0
113,5286212.0
114,3810007.0
115,3939804.0
116,2544857.0
117,2525375.0
118,4066618.0
119,4350573.0
120,3410878.0
121,7865428.0
122,7592272.0
123,4705945.0
124,4429512.0
125,2675511.0
126,2058644.0
127,8894598.0
128,3745135.0
129,3164972.0
130,1619683.0
131,4780607.0
132,3939804.0
133,2740687.0
134,4882985.0
135,2954086.0
136,3903884.0
137,5444227.0
138,2954086.0
139,6412623.0
140,4350573.0
141,2371202.0
142,3784230.0
143,1882131.0
144,4067566.0
145,5444227.0
146,4807746.0
147,3447890.0
148,2018785.0
149,5286212.0
150,4590423.0
151,1270499.0
152,2018785.0
153,3778621.0
154,2083447.0
155,7201784.0
156,3727364.0
157,4554237.0
158,3410878.0
159,3351383.0
160,4067566.0
161,5286212.0
162,3810007.0
163,3347767.0
164,3752885.0
165,3727364.0
166,5444227.0
167,3028267.0
168,2390534.0
169,5161370.0
170,4067566.0
171,4067566.0
172,2675511.0
173,2344689.0
174,7495092.0
175,2738052.0
176,3199619.0
177,4491607.0
178,2993069.0
179,6412623.0
180,3570392.0
181,4067566.0
182,5906596.0
183,2675511.0
184,4882985.0
185,1763231.0
186,2993069.0
187,4554237.0
188,6694797.0
189,3939804.0
190,3004429.0
191,7865428.0
192,6941173.0
193,3347767.0
194,2055379.0
195,16549064.0
196,3778621.0
197,1270499.0
198,6363241.0
199,2390534.0
200,6836483.0
201,3780019.0
202,3004429.0
203,3753720.0
204,9262754.0
205,6941173.0
206,3164972.0
207,4888774.0
208,2993069.0
209,8894598.0
210,2525375.0
211,5595267.0
212,4590423.0
213,4015749.0
214,5444227.0
215,2993069.0
216,6313221.0
217,4888774.0
218,2544857.0
219,4590423.0
220,6923131.0
221,2675511.0
222,3810007.0
223,4067566.0
224,3982767.0
225,4286645.0
226,6363241.0
227,9652350.0
228,6363241.0
229,3745135.0
230,6694797.0
231,4350573.0
232,3347767.0
233,5435276.0
234,3351383.0
235,9262754.0
236,5286212.0
237,1763231.0
238,5444227.0
239,3745135.0
240,3818055.0
241,1882131.0
242,4066618.0
243,3752885.0
244,3745135.0
245,16549064.0
246,5787594.0
247,6923131.0
248,4888774.0
249,4590423.0
250,3807496.0
251,3784230.0
252,3752885.0
253,2344689.0
254,7201784.0
255,4155435.0
256,1734634.0
257,6941173.0
258,2993069.0
259,3351383.0
260,3570392.0
261,3347767.0
262,3956086.0
